,ShearCoefficientU,ShearCoefficientV
ZS08, 4.88276E-001, 2.77962E-001
ZS07, 4.81129E-001, 2.68567E-001
ZS06, 4.74971E-001, 2.57019E-001
ZS05, 4.71188E-001, 2.44412E-001
ZS04, 4.68229E-001, 2.30625E-001
ZS03, 4.65395E-001, 2.16066E-001
ZS02, 4.54732E-001, 2.00796E-001
ZS01, 4.36626E-001, 1.91571E-001
ZS08_SumW, 0.00000E+000, 0.00000E+000
ZS07_SumW, 0.00000E+000, 0.00000E+000
ZS06_SumW, 0.00000E+000, 0.00000E+000
ZS05_SumW, 0.00000E+000, 0.00000E+000
ZS04_SumW, 0.00000E+000, 0.00000E+000
ZS08_SumElemWithoutDamper, 0.00000E+000, 0.00000E+000
ZS07_SumElemWithoutDamper, 0.00000E+000, 0.00000E+000
ZS06_SumElemWithoutDamper, 0.00000E+000, 0.00000E+000
ZS05_SumElemWithoutDamper, 0.00000E+000, 0.00000E+000
ZS04_SumElemWithoutDamper, 0.00000E+000, 0.00000E+000
ZS03_SumElemWithoutDamper, 0.00000E+000, 0.00000E+000
ZS02_SumElemWithoutDamper, 0.00000E+000, 0.00000E+000
ZS01_SumElemWithoutDamper, 0.00000E+000, 0.00000E+000
ZS08_SumElem_Column:RC, 0.00000E+000, 0.00000E+000
ZS07_SumElem_Column:RC, 0.00000E+000, 0.00000E+000
ZS06_SumElem_Column:RC, 0.00000E+000, 0.00000E+000
ZS05_SumElem_Column:RC, 0.00000E+000, 0.00000E+000
ZS04_SumElem_Column:RC, 0.00000E+000, 0.00000E+000
ZS03_SumElem_Column:RC, 0.00000E+000, 0.00000E+000
ZS02_SumElem_Column:RC, 0.00000E+000, 0.00000E+000
ZS01_SumElem_Column:RC, 0.00000E+000, 0.00000E+000
ZS08_SumElem_Wall:BearingWall, 0.00000E+000, 0.00000E+000
ZS07_SumElem_Wall:BearingWall, 0.00000E+000, 0.00000E+000
ZS06_SumElem_Wall:BearingWall, 0.00000E+000, 0.00000E+000
ZS05_SumElem_Wall:BearingWall, 0.00000E+000, 0.00000E+000
ZS04_SumElem_Wall:BearingWall, 0.00000E+000, 0.00000E+000
ZS08_SumForLm_0, 0.00000E+000, 0.00000E+000
ZS07_SumForLm_0, 0.00000E+000, 0.00000E+000
ZS06_SumForLm_0, 0.00000E+000, 0.00000E+000
ZS05_SumForLm_0, 0.00000E+000, 0.00000E+000
ZS04_SumForLm_0, 0.00000E+000, 0.00000E+000
ZS03_SumForLm_0, 0.00000E+000, 0.00000E+000
ZS02_SumForLm_0, 0.00000E+000, 0.00000E+000
ZS01_SumForLm_0, 0.00000E+000, 0.00000E+000
ZS08_StiffCenter, 0.00000E+000, 0.00000E+000
ZS07_StiffCenter, 0.00000E+000, 0.00000E+000
ZS06_StiffCenter, 0.00000E+000, 0.00000E+000
ZS05_StiffCenter, 0.00000E+000, 0.00000E+000
ZS04_StiffCenter, 0.00000E+000, 0.00000E+000
ZS03_StiffCenter, 0.00000E+000, 0.00000E+000
ZS02_StiffCenter, 0.00000E+000, 0.00000E+000
ZS01_StiffCenter, 0.00000E+000, 0.00000E+000
