,DfU,DfV,TimeAtYield
ZS08, 6.85559E-002, 6.85559E-002, 0.00000E+000
ZS07, 9.67312E-002, 9.67312E-002, 0.00000E+000
ZS06, 1.26222E-001, 1.26222E-001, 0.00000E+000
ZS05, 1.54118E-001, 1.54118E-001, 0.00000E+000
ZS04, 2.80897E-001, 2.80897E-001, 0.00000E+000
ZS03, 6.82763E+000, 1.92465E+000, 2.01054E+001
ZS02, 1.19166E+000, 2.28962E+000, 1.95027E+001
ZS01, 0.00000E+000, 0.00000E+000, 0.00000E+000
ZS08_SumW, 2.41615E-003, 2.41615E-003, 0.00000E+000
ZS07_SumW, 6.72257E-003, 6.72257E-003, 0.00000E+000
ZS06_SumW, 1.11061E-002, 1.11061E-002, 0.00000E+000
ZS05_SumW, 1.52264E-002, 1.52264E-002, 0.00000E+000
ZS04_SumW, 2.34439E-002, 2.34439E-002, 0.00000E+000
ZS08_SumElemWithoutDamper, 6.85559E-002, 6.85559E-002, 0.00000E+000
ZS07_SumElemWithoutDamper, 9.67312E-002, 9.67312E-002, 0.00000E+000
ZS06_SumElemWithoutDamper, 1.26222E-001, 1.26222E-001, 0.00000E+000
ZS05_SumElemWithoutDamper, 1.54118E-001, 1.54118E-001, 0.00000E+000
ZS04_SumElemWithoutDamper, 2.80897E-001, 2.80897E-001, 0.00000E+000
ZS03_SumElemWithoutDamper, 6.82763E+000, 1.92465E+000, 2.01054E+001
ZS02_SumElemWithoutDamper, 1.19166E+000, 2.28962E+000, 1.95027E+001
ZS01_SumElemWithoutDamper, 0.00000E+000, 0.00000E+000, 0.00000E+000
ZS08_SumElem_Column:RC, 4.29404E-002, 4.29404E-002, 0.00000E+000
ZS07_SumElem_Column:RC, 5.71402E-002, 5.71402E-002, 0.00000E+000
ZS06_SumElem_Column:RC, 1.02918E-001, 1.02918E-001, 0.00000E+000
ZS05_SumElem_Column:RC, 1.23331E-001, 1.23331E-001, 0.00000E+000
ZS04_SumElem_Column:RC, 1.50631E-001, 1.50631E-001, 0.00000E+000
ZS03_SumElem_Column:RC, 6.82763E+000, 1.92465E+000, 2.01054E+001
ZS02_SumElem_Column:RC, 1.19166E+000, 2.28962E+000, 1.95027E+001
ZS01_SumElem_Column:RC, 0.00000E+000, 0.00000E+000, 0.00000E+000
ZS08_SumElem_Wall:BearingWall, 2.41615E-003, 2.41615E-003, 0.00000E+000
ZS07_SumElem_Wall:BearingWall, 6.72257E-003, 6.72257E-003, 0.00000E+000
ZS06_SumElem_Wall:BearingWall, 1.11061E-002, 1.11061E-002, 0.00000E+000
ZS05_SumElem_Wall:BearingWall, 1.52264E-002, 1.52264E-002, 0.00000E+000
ZS04_SumElem_Wall:BearingWall, 2.34439E-002, 2.34439E-002, 0.00000E+000
ZS08_SumForLm_0, 4.29404E-002, 4.29404E-002, 0.00000E+000
ZS07_SumForLm_0, 5.71402E-002, 5.71402E-002, 0.00000E+000
ZS06_SumForLm_0, 1.02918E-001, 1.02918E-001, 0.00000E+000
ZS05_SumForLm_0, 1.23331E-001, 1.23331E-001, 0.00000E+000
ZS04_SumForLm_0, 1.50631E-001, 1.50631E-001, 0.00000E+000
ZS03_SumForLm_0, 6.82763E+000, 1.92465E+000, 2.01054E+001
ZS02_SumForLm_0, 1.19166E+000, 2.28962E+000, 1.95027E+001
ZS01_SumForLm_0, 0.00000E+000, 0.00000E+000, 0.00000E+000
ZS08_StiffCenter, 0.00000E+000, 0.00000E+000, 0.00000E+000
ZS07_StiffCenter, 0.00000E+000, 0.00000E+000, 0.00000E+000
ZS06_StiffCenter, 0.00000E+000, 0.00000E+000, 0.00000E+000
ZS05_StiffCenter, 0.00000E+000, 0.00000E+000, 0.00000E+000
ZS04_StiffCenter, 0.00000E+000, 0.00000E+000, 0.00000E+000
ZS03_StiffCenter, 0.00000E+000, 0.00000E+000, 0.00000E+000
ZS02_StiffCenter, 0.00000E+000, 0.00000E+000, 0.00000E+000
ZS01_StiffCenter, 0.00000E+000, 0.00000E+000, 0.00000E+000
