,DfU,DfV,TimeAtYield
ZS08, 8.41264E-001, 8.41264E-001, 0.00000E+000
ZS07, 8.41264E-001, 8.41264E-001, 0.00000E+000
ZS06, 8.52655E-001, 8.52655E-001, 0.00000E+000
ZS05, 8.77938E-001, 8.77938E-001, 0.00000E+000
ZS04, 8.77938E-001, 8.77938E-001, 0.00000E+000
ZS03, 1.01278E+002, 8.03722E+002, 0.00000E+000
ZS02, 1.10073E+002, 1.34446E+002, 0.00000E+000
ZS01, 0.00000E+000, 0.00000E+000, 0.00000E+000
ZS08_SumW, 9.93301E-003, 9.93301E-003, 0.00000E+000
ZS07_SumW, 1.16241E-002, 1.16241E-002, 0.00000E+000
ZS06_SumW, 1.28143E-002, 1.28143E-002, 0.00000E+000
ZS05_SumW, 1.68647E-002, 1.68647E-002, 0.00000E+000
ZS04_SumW, 2.56888E-002, 2.56888E-002, 0.00000E+000
ZS08_SumElemWithoutDamper, 8.41264E-001, 8.41264E-001, 0.00000E+000
ZS07_SumElemWithoutDamper, 8.41264E-001, 8.41264E-001, 0.00000E+000
ZS06_SumElemWithoutDamper, 8.52655E-001, 8.52655E-001, 0.00000E+000
ZS05_SumElemWithoutDamper, 8.77938E-001, 8.77938E-001, 0.00000E+000
ZS04_SumElemWithoutDamper, 8.77938E-001, 8.77938E-001, 0.00000E+000
ZS03_SumElemWithoutDamper, 1.01278E+002, 8.03722E+002, 0.00000E+000
ZS02_SumElemWithoutDamper, 1.10073E+002, 1.34446E+002, 0.00000E+000
ZS01_SumElemWithoutDamper, 0.00000E+000, 0.00000E+000, 0.00000E+000
ZS08_SumElem_Column:RC, 4.92555E-001, 4.92555E-001, 0.00000E+000
ZS07_SumElem_Column:RC, 5.88505E-001, 5.88505E-001, 0.00000E+000
ZS06_SumElem_Column:RC, 5.99433E-001, 5.99433E-001, 0.00000E+000
ZS05_SumElem_Column:RC, 6.10184E-001, 6.10184E-001, 0.00000E+000
ZS04_SumElem_Column:RC, 6.38360E-001, 6.38360E-001, 0.00000E+000
ZS03_SumElem_Column:RC, 1.01278E+002, 8.03722E+002, 0.00000E+000
ZS02_SumElem_Column:RC, 1.10073E+002, 1.34446E+002, 0.00000E+000
ZS01_SumElem_Column:RC, 0.00000E+000, 0.00000E+000, 0.00000E+000
ZS08_SumElem_Wall:BearingWall, 9.93301E-003, 9.93301E-003, 0.00000E+000
ZS07_SumElem_Wall:BearingWall, 1.16241E-002, 1.16241E-002, 0.00000E+000
ZS06_SumElem_Wall:BearingWall, 1.28143E-002, 1.28143E-002, 0.00000E+000
ZS05_SumElem_Wall:BearingWall, 1.68647E-002, 1.68647E-002, 0.00000E+000
ZS04_SumElem_Wall:BearingWall, 2.56888E-002, 2.56888E-002, 0.00000E+000
ZS08_SumForLm_0, 4.92555E-001, 4.92555E-001, 0.00000E+000
ZS07_SumForLm_0, 5.88505E-001, 5.88505E-001, 0.00000E+000
ZS06_SumForLm_0, 5.99433E-001, 5.99433E-001, 0.00000E+000
ZS05_SumForLm_0, 6.10184E-001, 6.10184E-001, 0.00000E+000
ZS04_SumForLm_0, 6.38360E-001, 6.38360E-001, 0.00000E+000
ZS03_SumForLm_0, 1.01278E+002, 8.03722E+002, 0.00000E+000
ZS02_SumForLm_0, 1.10073E+002, 1.34446E+002, 0.00000E+000
ZS01_SumForLm_0, 0.00000E+000, 0.00000E+000, 0.00000E+000
ZS08_StiffCenter, 0.00000E+000, 0.00000E+000, 0.00000E+000
ZS07_StiffCenter, 0.00000E+000, 0.00000E+000, 0.00000E+000
ZS06_StiffCenter, 0.00000E+000, 0.00000E+000, 0.00000E+000
ZS05_StiffCenter, 0.00000E+000, 0.00000E+000, 0.00000E+000
ZS04_StiffCenter, 0.00000E+000, 0.00000E+000, 0.00000E+000
ZS03_StiffCenter, 0.00000E+000, 0.00000E+000, 0.00000E+000
ZS02_StiffCenter, 0.00000E+000, 0.00000E+000, 0.00000E+000
ZS01_StiffCenter, 0.00000E+000, 0.00000E+000, 0.00000E+000
